case,flow,speed,dspeed,lspeed,comply,ped,cross,shared,oneway,lanes,mark,trees,bollards,width,cross_y,s_width,bench,obst,lev_segr,vis_segr,pedcross,shpedspace,shped
mke,30,11.9825,-1.230152988,-8.0175,0.599125,240,0,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0,0.538461538,0.888888889
mke,150,14.93285714,1.720204152,-5.06714286,0.746642857,240,90,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.375,0.538461538,0.615384615
mke,270,17.69424859,4.481595602,-2.30575141,0.88471243,210,60,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.285714286,0.538461538,0.4375
mke,0,0,-13.21265299,-20,1,510,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.352941176,0.538461538,1
mke,150,15.2122061,1.999553112,-4.7877939,0.760610305,390,30,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.076923077,0.538461538,0.722222222
mke,150,18.49470914,5.282056152,-1.50529086,0.924735457,570,90,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.157894737,0.538461538,0.791666667
mke,30,6.785384615,-6.427268373,-13.21461539,0.339269231,480,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.375,0.538461538,0.941176471
mke,90,21.70362162,8.490968632,1.70362162,1.085181081,390,120,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.307692308,0.538461538,0.8125
mke,60,9.056606061,-4.156046927,-10.94339394,0.452830303,390,240,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.615384615,0.538461538,0.866666667
mke,90,12.98410714,-0.228545848,-7.01589286,0.649205357,600,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.3,0.538461538,0.869565217
mke,150,12.61092827,-0.601724718,-7.38907173,0.630546414,600,210,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.35,0.538461538,0.8
mke,240,16.01202033,2.799367342,-3.98797967,0.800601017,630,90,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.142857143,0.538461538,0.724137931
mke,150,16.7767803,3.564127312,-3.2232197,0.838839015,540,210,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.388888889,0.538461538,0.782608696
mke,180,13.6287044,0.416051412,-6.3712956,0.68143522,420,90,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.214285714,0.538461538,0.7
mke,0,0,-13.21265299,-20,1,420,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.428571429,0.538461538,1
mke,120,14.95992793,1.747274942,-5.04007207,0.747996397,660,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.272727273,0.538461538,0.846153846
mke,90,21.51788321,8.305230222,1.51788321,1.075894161,570,30,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.052631579,0.538461538,0.863636364
mke,120,13.57945111,0.366798122,-6.42054889,0.678972556,420,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.428571429,0.538461538,0.777777778
mke,90,21.88555556,8.672902572,1.88555556,1.094277778,300,30,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.1,0.538461538,0.769230769
mke,90,21.15593103,7.943278042,1.15593103,1.057796552,510,180,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.352941176,0.538461538,0.85
mke,180,12.29725864,-0.915394348,-7.70274136,0.614862932,450,60,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.133333333,0.538461538,0.714285714
mke,90,12.78895623,-0.423696758,-7.21104377,0.639447812,420,90,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.214285714,0.538461538,0.823529412
mke,120,9.157678571,-4.054974417,-10.84232143,0.457883929,360,150,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.416666667,0.538461538,0.75
mke,120,2.951882353,-10.26077063,-17.04811765,0.147594118,600,120,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.2,0.538461538,0.833333333
mke,90,10.13578544,-3.076867548,-9.86421456,0.506789272,600,60,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.1,0.538461538,0.869565217
mke,120,14.89904382,1.686390832,-5.10095618,0.744952191,510,90,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.176470588,0.538461538,0.80952381
mke,150,21.70486486,8.492211872,1.70486486,1.085243243,360,210,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.583333333,0.538461538,0.705882353
